City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.79,-50.01,59.95,77,0,3.09,BR,2020-08-29 21:36
mataura,-46.19,168.86,58.84,54,85,12.71,NZ,2020-08-29 21:36
vaini,-21.2,-175.2,80.6,78,40,10.29,TO,2020-08-29 21:36
hobart,-42.88,147.33,69.8,32,40,31.09,AU,2020-08-29 21:36
busselton,-33.65,115.33,57.0,67,59,5.99,AU,2020-08-29 21:36
gat,31.61,34.76,81.0,83,0,0.25,IL,2020-08-29 21:36
kaitangata,-46.28,169.85,62.01,48,52,17.0,NZ,2020-08-29 21:36
rikitea,-23.12,-134.97,70.12,76,10,7.45,PF,2020-08-29 21:36
mount gambier,-37.83,140.77,53.6,87,75,19.46,AU,2020-08-29 21:36
albany,42.6,-73.97,68.0,93,18,1.01,US,2020-08-29 21:36
hermanus,-34.42,19.23,39.0,93,11,1.01,ZA,2020-08-29 21:36
la palma,33.85,-118.05,75.2,57,1,4.7,US,2020-08-29 21:34
tiksi,71.69,128.87,46.42,74,9,8.88,RU,2020-08-29 21:36
souillac,-20.52,57.52,69.8,73,40,14.99,MU,2020-08-29 21:36
pacific grove,36.62,-121.92,60.01,93,75,3.4,US,2020-08-29 21:36
bredasdorp,-34.53,20.04,41.0,86,9,9.17,ZA,2020-08-29 21:36
dikson,73.51,80.55,41.61,95,100,20.67,RU,2020-08-29 21:36
georgetown,5.41,100.34,86.0,79,20,3.87,MY,2020-08-29 21:36
kapaa,22.08,-159.32,82.4,74,1,14.99,US,2020-08-29 21:36
lorengau,-2.02,147.27,85.64,70,99,11.81,PG,2020-08-29 21:36
leh,34.17,77.58,57.36,36,1,6.22,IN,2020-08-29 21:33
marzuq,14.4,46.47,80.17,51,0,4.07,YE,2020-08-29 21:36
arraial do cabo,-22.97,-42.03,71.87,87,0,26.49,BR,2020-08-29 21:36
prieska,-29.66,22.75,31.14,94,0,3.83,ZA,2020-08-29 21:36
khani,41.96,42.96,60.8,93,0,2.24,GE,2020-08-29 21:36
huanren,41.26,125.37,83.75,56,77,2.17,CN,2020-08-29 21:36
road town,18.42,-64.62,84.0,88,3,5.99,VG,2020-08-29 21:34
tikhvin,59.65,33.53,51.01,93,100,4.03,RU,2020-08-29 21:36
ushuaia,-54.8,-68.3,32.0,91,90,20.8,AR,2020-08-29 21:34
jamestown,42.1,-79.24,62.6,77,75,8.05,US,2020-08-29 21:34
bambous virieux,-20.34,57.76,70.0,73,40,14.99,MU,2020-08-29 21:36
atuona,-9.8,-139.03,79.02,78,10,21.0,PF,2020-08-29 21:36
